Model,Anomaly_Count,KMeans_Clusters,KMeans_Silhouette,Hierarchical_Clusters,Hierarchical_Silhouette
abod,0,2,0.20965871278449805,2,0.20267216434040547
cluster,50,2,0.2257952521733501,2,0.22318733919116127
cof,50,2,0.22484171489043364,2,0.22267784496763746
iforest,50,3,0.21280791308149696,2,0.2180596498193392
histogram,50,3,0.21497703669935703,2,0.2173554212391922
knn,46,2,0.22463749719618833,2,0.22207131991031367
lof,46,2,0.2247540342480165,2,0.22212607375874718
svm,50,3,0.20875865848423425,2,0.21176393809538313
pca,50,3,0.20920652767603554,2,0.20971891857119904
mcd,50,2,0.2249679414260325,2,0.21401815523132642
